05-11-2023 	 01:30:27 	 8c36bbc0-5889-4cad-b50c-2e9ed617f66d 	 POST	undefined	/states/ks/funfact?funfacts=[%22t1%22,%22t2%22] 
05-11-2023 	 01:30:28 	 f978cacc-585f-4887-bcbe-d029c33ec9fc 	 POST	undefined	/states/ks/funfact?funfacts=[%22t1%22,%22t2%22] 
05-11-2023 	 01:30:29 	 b0e5841f-9ff2-493d-8eea-1c81cc7e4bc1 	 POST	undefined	/states/ks/funfact?funfacts=[%22t1%22,%22t2%22] 
05-11-2023 	 01:30:31 	 167aabb1-2f84-4425-9833-1eee2fc214f6 	 POST	undefined	/states/ks/funfact?funfacts=[%22t1%22,%22t2%22] 
05-11-2023 	 01:30:32 	 c22553d4-d36c-4516-97aa-57b4293fd53d 	 POST	undefined	/states/ks/funfact?funfacts=[%22t1%22,%22t2%22] 
05-11-2023 	 01:30:32 	 00e67fc0-ff3a-46f0-9505-f4e2e77046b1 	 POST	undefined	/states/ks/funfact?funfacts=[%22t1%22,%22t2%22] 
05-11-2023 	 01:31:31 	 df877c50-7c95-4d79-96a2-83b132ee18dd 	 POST	undefined	/states/ks/funfact?funfacts=[%22t1%22,%22t2%22] 
05-11-2023 	 01:36:03 	 a991941a-bd02-4e49-87c2-3da8fcb804a0 	 POST	undefined	/states/ks/funfact 
05-11-2023 	 01:47:17 	 d5758cd9-2ea5-4c89-8d34-4347411d138e 	 POST	undefined	/states/ks/funfact 
05-11-2023 	 01:48:11 	 63b8f687-ed77-4c81-8109-b03bf2435539 	 POST	undefined	/states/ks/funfact 
05-11-2023 	 01:49:19 	 343b23cb-4b86-4417-aeac-26b5ed6efdfd 	 POST	undefined	/states/ks/funfact 
05-11-2023 	 01:50:07 	 fb917414-4bed-4482-998f-f50885c5c8db 	 POST	undefined	/states/ks/funfact 
05-11-2023 	 01:53:11 	 ae6ebeaf-db1c-4556-a323-3e179b48c408 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 01:53:13 	 db54a367-3ab3-46a5-8b1f-a9da20f00861 	 GET	undefined	/states/ks/funfact 
